轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
18,山东鲁能,长春亚泰,28,22,5,9,1.53,3.75,6,1.73,3.6,4.33,1.6,3.7,5,1.73,3.6,4.2,0.8,半球/一球,0.9,0.8,半球/一球,0.9,赢半,3,2
18,上  港,恒  大,39,40,2,1,2.3,3.4,2.8,2.3,3.5,2.7,2.3,3.4,2.65,2.2,3.4,2.75,0.700↑,平手,1.000↓,0.64,平手,1.06,走盘,2,2
18,河南建业,天津权健,18,31,12,4,2.75,3.25,2.4,2.8,3.2,2.38,2.88,3.2,2.25,2.7,3,2.45,0.720↑,受平手/半球,0.980↓,0.64,受平手/半球,1.06,赢半,1,1
18,广州富力,延边富德,24,10,8,16,1.33,4.5,9,1.22,6,9.5,1.36,4.6,7.5,1.2,6,12,0.760↓,球半/两球x升,0.940↑,1,球半,0.7,赢,6,2
18,上海申花,北京国安,20,25,11,7,1.83,4,3.4,2.4,3.3,2.7,2.15,3.25,3,2.38,3.3,2.62,1.060↑,平手/半球,0.640↓,1,平手/半球,0.7,输,1,2
19,河南建业,北京国安,19,28,12,6,2.8,3.2,2.38,2.88,3,2.45,2.7,3.1,2.45,2.8,2.9,2.45,0.800↑,受平手/半球,0.900↓,0.76,受平手/半球,0.94,输,0,2
19,延边富德,天津权健,10,32,16,3,5,4.2,1.53,7,4.33,1.4,4.6,3.75,1.62,8.5,4.75,1.3,1.100↑,受一球,0.600↓,0.96,受一球,0.74,输,0,2
19,重庆力帆,苏  宁,27,14,8,14,3,3.3,2.2,4.6,3.5,1.7,2.88,3.25,2.25,4.8,3.6,1.62,0.960↑,受半球/一球x降,0.740↓,0.84,受平手/半球,0.86,输半,1,2
19,上海申花,河北华夏,20,29,11,6,2.15,3.4,3,2.15,3.4,3,2.15,3.3,3,2.2,3.4,2.88,0.860↑,平手/半球,0.840↓,0.84,平手/半球,0.86,赢,3,2
19,辽宁开新,长春亚泰,13,22,15,10,2,3.4,3.4,1.4,4.75,6,2.05,3.3,3.2,1.44,4.25,5.5,0.560↓,一球x升,1.140↑,1.04,半球,0.66,走盘,1,0
19,山东鲁能,上  港,31,40,4,2,2.6,3.5,2.38,2.38,3.75,2.5,2.6,3.4,2.35,2.3,3.5,2.62,1.020↑,平手/半球x升,0.680↓,0.9,平手,0.8,赢,2,1
